dominio_antiguo,redirigir_a,estado
https://3rj.canariasconectada.es,https://3rjsurftime.canariasconectada.es,ok
https://abinformatica.canariasconectada.es,https://serviciotecnicoabinformatica.canariasconectada.es,ok
https://acuarican.canariasconectada.es,https://veterinariaacuarican.canariasconectada.es,ok
https://arkayluismorote.canariasconectada.es,https://perfumeriasarkayluismorote.canariasconectada.es,ok
https://arkayripoche.canariasconectada.es,https://perfumeriasarkayripoche.canariasconectada.es,ok
https://aromadecafe.canariasconectada.es,https://aromacafe.canariasconectada.es,ok
https://autocristalralarsa.canariasconectada.es,https://ralarsa.canariasconectada.es,ok
https://cafeteriaastrid.canariasconectada.es,https://churreriaastridolafpalme.canariasconectada.es,"revisar: dos sites Astrid, destino dudoso"
https://carpinteriaylacados.canariasconectada.es,,sin destino: el comercio no existe en prod
https://centrodeesteticaalma.canariasconectada.es,,sin destino: el comercio no existe en prod
https://coffeebike.canariasconectada.es,https://coffeandbike.canariasconectada.es,ok
https://davidreze.canariasconectada.es,https://pasteleriapanaderiadavidreze.canariasconectada.es,ok
https://diazleja.canariasconectada.es,https://diazlejaservicios.canariasconectada.es,ok
https://electroguanarteme.canariasconectada.es,https://electroguanartemesl.canariasconectada.es,ok
https://eltucan24h.canariasconectada.es,https://tucan24h.canariasconectada.es,ok
https://escuelainfantil.canariasconectada.es,https://lagallinaturuleta.canariasconectada.es,ok
https://fame.canariasconectada.es,https://famerehabilitacionfachadas.canariasconectada.es,ok
https://ferreteriatosan.canariasconectada.es,,sin destino: el comercio no existe en prod
https://jorgenaranjo.canariasconectada.es,,sin destino: el comercio no existe en prod
https://juanhernandez.canariasconectada.es,https://juanhernandezestudio.canariasconectada.es,ok
https://lakota.canariasconectada.es,https://centroestudioslakota.canariasconectada.es,ok
https://larebana2.canariasconectada.es,,sin destino: el comercio no existe en prod
https://maquifer.canariasconectada.es,https://maquifercoop.canariasconectada.es,ok
https://medicalicaro.canariasconectada.es,,sin destino: el comercio no existe en prod
https://milagrosbar.canariasconectada.es,https://losmilagrosbar.canariasconectada.es,ok
https://modasolaida.canariasconectada.es,,sin destino: el comercio no existe en prod
https://mygmoda.canariasconectada.es,https://mgmoda.canariasconectada.es,ok
https://peluquerialunaymar.canariasconectada.es,https://lunaymarlaspalmas.canariasconectada.es,ok
https://pirotecniavolcanguanarteme.canariasconectada.es,https://pirotecniavolcan.canariasconectada.es,ok
https://pizzeria-raffaele.canariasconectada.es,https://pizzeriaravo.canariasconectada.es,ok
https://pizzeriahipopotamo.canariasconectada.es,https://hipopotamopizza.canariasconectada.es,ok
https://preciosacanarias.canariasconectada.es,,sin destino: el comercio no existe en prod
https://professionalbeauty.canariasconectada.es,https://estefaniadiazmartel.canariasconectada.es,ok
https://ramcast.canariasconectada.es,https://ramcastdistribucion.canariasconectada.es,ok
https://restaurantesanfernando.canariasconectada.es,https://cafeteriasanfernando.canariasconectada.es,ok
https://segurosmapfre.canariasconectada.es,,sin destino: el comercio no existe en prod
https://somaphi.canariasconectada.es,https://psicologialuciagarciasantana.canariasconectada.es,ok
https://tallerluiscompeticion.canariasconectada.es,https://luiscompeticion.canariasconectada.es,ok
https://thecaptain.canariasconectada.es,https://thecaptain13.canariasconectada.es,ok
https://unitedbarbers.canariasconectada.es,,sin destino: el comercio no existe en prod
https://yaizaruiz.canariasconectada.es,https://yaizaruizestetica.canariasconectada.es,ok
